table,description,code_2008,code_2012,code_2016,code_2020,col_name
Total Population,Persons: Total,AV0AA105,AV0AA145,AV0AA185,AV0AA225,population
Persons by Sex [2],Persons: Female,AV1AB105,AV1AB145,AV1AB185,AV1AB225,female
Persons by Sex [2],Persons: Male,AV1AA105,AV1AA145,AV1AA185,AV1AA225,male
Persons of Hispanic or Latino Origin,Persons: Hispanic or Latino,A35AA105,A35AA145,A35AA185,A35AA225,hispanic
Total Households,Households: Total,AR5AA105,AR5AA145,AR5AA185,AR5AA225,households
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Female ~ Divorced,BL1AL105,BL1AL145,BL1AL185,BL1AL225,female_divorced
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Female ~ Never married,BL1AG105,BL1AG145,BL1AG185,BL1AG225,female_never_married
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Female ~ Now married--Not separated,BL1AI105,BL1AI145,BL1AI185,BL1AI225,female_married
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Female ~ Now married--Separated,BL1AJ105,BL1AJ145,BL1AJ185,BL1AJ225,female_separated
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Female ~ Widowed,BL1AK105,BL1AK145,BL1AK185,BL1AK225,female_widowed
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Male ~ Divorced,BL1AF105,BL1AF145,BL1AF185,BL1AF225,male_divorced
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Male ~ Never married,BL1AA105,BL1AA145,BL1AA185,BL1AA225,male_never_married
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Male ~ Now married--Not separated,BL1AC105,BL1AC145,BL1AC185,BL1AC225,male_married
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Male ~ Now married--Separated,BL1AD105,BL1AD145,BL1AD185,BL1AD225,male_separated
Persons of Marrying Age* by Sex [2] by Marital Status [6],Persons: Male ~ Widowed,BL1AE105,BL1AE145,BL1AE185,BL1AE225,male_widowed
Persons by Nativity [2],Persons: Foreign born,AT5AB105,AT5AB145,AT5AB185,AT5AB225,non_native
Persons by Nativity [2],Persons: Native,AT5AA105,AT5AA145,AT5AA185,AT5AA225,native
Persons 18 Years and Over by Educational Attainment [7],"Persons: 18 years and over ~ 9th to 12th grade, no diploma",B87AB105,B87AB145,B87AB185,B87AB225,18_plus_hs_no_diploma
Persons 18 Years and Over by Educational Attainment [7],Persons: 18 years and over ~ Associate degree,B87AE105,B87AE145,B87AE185,B87AE225,18_plus_associate
Persons 18 Years and Over by Educational Attainment [7],Persons: 18 years and over ~ Bachelor's degree,B87AF105,B87AF145,B87AF185,B87AF225,18_plus_bachelors
Persons 18 Years and Over by Educational Attainment [7],Persons: 18 years and over ~ Graduate or professional degree,B87AG105,B87AG145,B87AG185,B87AG225,18_plus_graduate
Persons 18 Years and Over by Educational Attainment [7],"Persons: 18 years and over ~ High school graduate, GED, or alternative",B87AC105,B87AC145,B87AC185,B87AC225,18_plus_ged
Persons 18 Years and Over by Educational Attainment [7],Persons: 18 years and over ~ Less than 9th grade,B87AA105,B87AA145,B87AA185,B87AA225,18_plus_less_than_9th
Persons 18 Years and Over by Educational Attainment [7],"Persons: 18 years and over ~ Some college, no degree",B87AD105,B87AD145,B87AD185,B87AD225,18_plus_some_college
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],"Persons: Female ~ 18 to 24 years ~ 9th to 12th grade, no diploma",B91BK105,B91BK145,B91BK185,B91BK225,female_18_to_24_hs_no_diploma
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],Persons: Female ~ 18 to 24 years ~ Associate's degree,B91BN105,B91BN145,B91BN185,B91BN225,female_18_to_24_associate
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],Persons: Female ~ 18 to 24 years ~ Bachelor's degree,B91BO105,B91BO145,B91BO185,B91BO225,female_18_to_24_bachelors
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],Persons: Female ~ 18 to 24 years ~ Graduate or professional degree,B91BP105,B91BP145,B91BP185,B91BP225,female_18_to_24_graduate
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],"Persons: Female ~ 18 to 24 years ~ High school graduate, GED, or alternative",B91BL105,B91BL145,B91BL185,B91BL225,female_18_to_24_ged
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],Persons: Female ~ 18 to 24 years ~ Less than 9th grade,B91BJ105,B91BJ145,B91BJ185,B91BJ225,female_18_to_24_less_than_9th
Persons 18 Years and Over by Sex [2] by Age [5] by Educational Attainment [7],"Persons: Female ~ 18 to 24 years ~ Some college, no degree",B91BM105,B91BM145,B91BM185,B91BM225,female_18_to_24_some_college
