,P(C),P(area_in_C),median_household_income,per_capita_income,population_density,P(income_10k_to_15k|house_in_C),P(income_15k_to_25k|house_in_C),P(income_25k_plus|house_in_C),P(income_less_than_10k|house_in_C),P(poverty|C),P(hispanic|C),P(nativity_native|C),P(labor_16_plus_employed|C),P(labor_16_plus_unemployed|C),P(labor_16_plus_armed_forces|C),P(labor_16_plus_not_in_force|C),P(white_total|C),P(black_total|C),P(asian_total|C),P(aian_total|C),P(nhpi_total|C),P(other_total|C),P(multi_total|C),P(male_age_low_edu_low|C),P(female_age_low_edu_low|C),P(male_age_low_edu_mid|C),P(female_age_low_edu_mid|C),P(male_age_low_edu_high|C),P(female_age_low_edu_high|C),P(male_age_low_edu_very_high|C),P(female_age_low_edu_very_high|C),P(male_age_mid_edu_low|C),P(female_age_mid_edu_low|C),P(male_age_mid_edu_mid|C),P(female_age_mid_edu_mid|C),P(male_age_mid_edu_high|C),P(female_age_mid_edu_high|C),P(male_age_mid_edu_very_high|C),P(female_age_mid_edu_very_high|C),P(male_age_high_edu_low|C),P(female_age_high_edu_low|C),P(male_age_high_edu_mid|C),P(female_age_high_edu_mid|C),P(male_age_high_edu_high|C),P(female_age_high_edu_high|C),P(male_age_high_edu_very_high|C),P(female_age_high_edu_very_high|C),P(marital_divorced|C),P(marital_single|C),P(marital_married|C),P(marital_separated|C),P(marital_widowed|C),racial_diversity,P(democrat_voter|C),P(republican_voter|C),P(other_voter|C),P(non_voter|C),log_odds_dem_rep
P(C),0.0,-8.96,0.38,0.76,-0.02,0.34,0.51,0.37,0.51,0.92,0.94,0.58,1.53,-0.14,-0.37,0.79,0.67,0.04,0.24,25.51,0.17,0.61,0.42,-1.1,-0.21,-0.03,-0.42,0.56,0.6,0.3,0.24,2.04,3.37,0.27,0.26,1.03,1.28,0.25,0.16,0.82,1.51,0.06,-0.34,3.23,473.81,0.33,0.2,-15.8,0.27,0.14,-0.11,0.04,0.5,0.39,0.25,-0.26,-0.2,0.41
P(area_in_C),1.93,0.0,0.43,-1.16,-0.61,1.55,-0.5,0.4,0.25,-2.77,0.04,-0.01,-3.88,-1.41,-14.92,-1.32,0.71,-0.25,1.59,-0.04,1.19,0.28,-0.02,-10.55,-6.68,1.44,9.24,-1.31,-3.07,-0.04,-0.07,-0.73,-0.79,-0.31,-0.36,-0.87,-0.99,-0.87,0.93,0.44,0.09,-0.27,-0.21,-0.32,-0.46,-0.26,-2.76,-2.14,-4.22,-4.18,-1.15,1.26,0.76,0.52,-10.43,-0.6,-16.06,-1.95
median_household_income,-0.6,-3.28,0.0,0.01,0.49,0.07,0.09,0.0,-0.0,-0.06,0.35,0.37,-0.01,-0.29,-0.16,-0.02,-2.52,-1.06,0.39,-0.96,0.49,0.61,0.8,0.14,0.1,-0.67,5.33,0.11,0.09,0.35,0.37,0.19,0.11,-0.95,-1.31,0.22,0.22,0.31,0.53,0.21,0.15,-27.6,-5.19,0.6,0.57,0.45,1.1,0.32,-6.34,-0.37,-0.14,-0.0,-10.19,0.58,-2.94,-0.11,-0.49,1.44
per_capita_income,-0.59,-3044.6,-0.01,0.0,1.09,0.1,0.12,-0.02,-0.12,-0.11,0.65,0.61,0.01,-0.45,-0.26,-0.0,-2.04,-1.67,0.51,-5.46,0.47,1.53,0.85,0.02,-0.0,-1.23,1.37,0.24,0.19,0.58,0.6,0.13,0.05,-1.02,-0.98,0.18,0.2,0.37,0.6,0.24,0.1,-1.62,-0.84,0.31,0.3,0.37,0.89,0.18,-2.97,-0.65,-0.27,0.13,-3.44,0.61,-1.73,-0.33,-0.35,1.46
population_density,-0.55,1.09,-0.61,0.29,0.0,0.42,0.64,0.5,0.8,1.89,2.03,0.81,2.39,-0.28,-0.52,1.15,0.82,0.09,0.28,-0.13,0.11,0.9,0.59,-2.0,-0.6,-0.22,-0.76,0.8,0.78,0.4,0.32,10.89,-5.34,0.18,0.15,1.95,2.67,0.4,0.27,1.13,4.1,0.08,-0.22,-5.24,-3.24,0.6,0.33,-15.25,0.28,0.07,-0.25,0.05,0.62,0.51,0.23,-0.23,-0.56,0.43
P(income_10k_to_15k|house_in_C),-0.65,-1.04,0.07,0.04,-1.98,0.0,0.26,0.08,0.17,0.1,0.17,0.29,0.08,0.22,0.03,0.06,-1.95,-0.9,0.4,-2.16,0.42,0.32,0.67,0.38,0.43,-0.65,76.72,0.13,0.1,0.35,0.4,0.35,0.33,-0.61,-0.69,0.35,0.36,0.36,0.59,0.26,0.22,-10.75,-5.16,0.83,0.81,0.59,1.13,0.16,-1.73,0.02,0.13,-0.03,-7.34,0.57,-1.76,-0.12,-0.17,1.17
P(income_15k_to_25k|house_in_C),-0.43,-1.41,0.1,0.1,-0.45,0.33,0.0,0.05,0.17,0.07,0.49,0.49,0.1,-0.13,-0.01,0.08,-5.5,-1.57,0.51,-1.12,0.6,0.74,0.99,0.37,0.31,-0.54,15.4,0.22,0.21,0.49,0.5,0.35,0.25,-1.08,-1.58,0.33,0.34,0.45,0.65,0.3,0.23,3.11,3.51,0.78,0.72,0.64,1.3,0.33,6.13,-0.24,-0.01,0.08,12.14,0.68,-6.88,0.03,-0.37,1.18
P(income_25k_plus|house_in_C),-0.51,-0.48,0.0,-0.06,-2.01,0.1,0.09,0.0,0.04,-0.0,0.2,0.26,-0.07,-0.08,0.03,-0.06,-1.28,-0.53,0.34,-0.8,0.53,0.45,0.78,0.16,0.19,-0.77,3.08,-0.0,-0.02,0.23,0.27,0.18,0.15,-0.61,-0.78,0.19,0.19,0.27,0.52,0.18,0.12,-2.17,-1.25,0.63,0.47,0.46,1.14,0.14,-0.9,-0.1,-0.04,-0.04,-2.43,0.43,-1.23,-0.12,-0.37,1.72
P(income_less_than_10k|house_in_C),-0.42,0.39,0.04,-0.11,-18.47,0.22,0.28,0.04,0.0,0.03,-0.05,0.09,-0.19,-0.01,0.31,-0.14,-0.57,-0.15,0.26,-0.86,0.73,0.24,0.82,0.08,0.17,-2.0,1.16,-0.23,-0.25,-0.04,0.03,0.07,0.12,-0.39,-0.49,0.08,0.05,0.16,0.5,0.12,0.05,-0.6,-0.59,0.49,0.19,0.34,1.27,0.16,-0.09,0.09,0.0,-0.04,-0.81,0.01,-0.43,-0.13,-0.34,-0.87
P(poverty|C),-2.63,12.09,0.05,-0.06,-27.54,0.15,0.19,0.03,0.03,0.0,-1.88,-0.22,-0.12,0.03,0.25,-0.17,-0.33,-0.22,0.13,24.52,-0.41,26.6,1.16,0.4,0.35,-5.68,1.26,-0.24,-0.26,0.01,0.16,0.13,0.15,-0.39,-0.44,0.11,0.1,0.26,0.87,-0.13,-0.2,-0.46,-0.51,0.51,0.18,0.49,2.08,-0.11,0.05,0.16,0.11,-0.31,-0.41,0.63,-0.18,-0.15,-0.01,-0.29
