gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_total,black_total,asian_total,aian_total,nhpi_total,other_total,multi_total,male_age_low_edu_low,female_age_low_edu_low,male_age_low_edu_mid,female_age_low_edu_mid,male_age_low_edu_high,female_age_low_edu_high,male_age_low_edu_very_high,female_age_low_edu_very_high,male_age_mid_edu_low,female_age_mid_edu_low,male_age_mid_edu_mid,female_age_mid_edu_mid,male_age_mid_edu_high,female_age_mid_edu_high,male_age_mid_edu_very_high,female_age_mid_edu_very_high,male_age_high_edu_low,female_age_high_edu_low,male_age_high_edu_mid,female_age_high_edu_mid,male_age_high_edu_high,female_age_high_edu_high,male_age_high_edu_very_high,female_age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G0100010,2008,ALABAMA,Autauga County,53155,594.436,1233,1055,52100,19718,996,1724,15682,1316,26635,24341,1611,683,13695,53255,24568,5623,42031,9508,348,168,0,324,776,331,261,765,681,429,646,170,177,628,644,1331,1435,1136,992,519,535,270,623,540,562,209,173,269,136,4719,10588,22476,1045,2530,6093,17403,145,29514
G0100030,2008,ALABAMA,Baldwin County,175791,1589.784,6848,6415,169376,69476,3353,8252,53725,4146,84253,78520,5513,220,55524,50147,26469,21216,151453,16613,1149,1090,6,3084,2396,1032,783,2519,2394,1714,2202,377,821,2384,1575,5323,6367,5117,4063,2245,2510,1104,1868,2800,3498,2523,1604,1728,1018,15819,29656,84456,2418,9554,19386,61271,756,94378
G0100050,2008,ALABAMA,Barbour County,27699,884.876,1273,778,26921,9795,964,1370,5766,1695,10966,9909,1051,6,11227,33219,15875,6203,13759,12911,46,87,3,526,367,612,214,424,243,91,108,45,91,754,698,608,551,384,256,276,208,248,371,226,306,152,132,150,114,3054,7085,9780,968,1711,5697,5866,67,16069
G0100070,2008,ALABAMA,Bibb County,22610,622.582,134,153,22457,7441,547,1127,5220,547,10806,9819,987,0,7157,41770,19918,2830,19038,3450,36,40,0,0,46,134,193,216,299,116,189,44,12,525,446,480,417,238,120,22,125,242,300,103,228,96,55,80,34,2516,4809,8945,799,1228,2299,6262,83,13966
G0100090,2008,ALABAMA,Blount County,56692,644.776,4246,2675,54017,20605,1240,2681,14942,1742,26744,24706,2011,27,17620,45549,21070,7510,53938,716,246,255,9,923,605,671,519,699,885,368,259,94,98,1304,1143,1382,1616,734,630,378,367,519,974,602,513,204,149,104,227,5458,8673,26399,1057,3487,3522,20389,356,32425
G0100110,2008,ALABAMA,Bullock County,10923,622.805,180,124,10799,3732,312,652,2162,606,4854,4310,544,0,3889,31602,20289,2694,2589,8110,47,24,64,0,89,157,138,98,80,35,170,0,23,280,170,435,264,172,117,69,65,91,113,99,89,54,22,16,32,986,3886,2832,376,862,4011,1391,13,5508
G0100130,2008,ALABAMA,Butler County,20895,776.829,58,224,20671,8019,781,1380,4619,1239,8994,8138,856,0,7359,30659,16916,5127,11493,8969,176,28,0,0,229,236,189,256,307,33,168,83,13,530,353,487,546,202,242,52,92,250,449,98,249,151,97,23,11,2407,4948,6894,580,1901,4188,5485,36,11186
G0100150,2008,ALABAMA,Calhoun County,117149,605.868,3555,2968,114181,46421,3650,6323,30576,5872,54183,47720,6309,154,39243,38407,20574,22203,88451,23928,815,513,85,1811,1546,997,910,1687,2096,794,1109,233,436,2046,1981,3586,3499,1600,1344,1143,1080,1080,2179,1217,1159,645,446,644,415,12215,25085,46851,2739,7936,16334,32348,560,67907
G0100170,2008,ALABAMA,Chambers County,34579,596.531,524,301,34278,13681,1434,2243,8206,1798,15951,13679,2272,0,11571,31467,16626,6988,20425,13527,145,17,0,57,408,499,280,375,634,86,309,46,50,1025,799,902,986,359,264,191,227,438,1107,337,348,206,92,87,96,3205,7358,13585,1139,2662,6799,8067,90,19623
G0100190,2008,ALABAMA,Cherokee County,25700,553.7,321,127,25573,11352,1229,1709,7298,1116,12072,10548,1496,28,8802,40690,21322,4458,23842,1202,69,198,32,121,236,194,289,518,395,12,74,30,96,342,787,956,927,400,219,164,223,288,738,251,294,141,108,77,92,2172,2941,14246,198,1724,2306,7298,141,15955
G0100210,2008,ALABAMA,Chilton County,43121,692.854,2806,1708,41413,16563,1290,2376,11202,1695,20222,18375,1840,7,13252,39486,20517,7887,37736,4052,85,242,0,414,592,597,390,482,592,255,500,15,137,656,844,1096,1015,259,361,233,380,343,893,412,313,75,101,161,82,3877,7438,19677,729,2415,3674,13960,151,25336
G0100230,2008,ALABAMA,Choctaw County,14111,913.5,52,47,14064,5296,682,872,3073,669,5156,4478,678,0,6105,31076,17214,2590,7823,6064,39,0,0,10,175,135,65,170,111,81,64,0,46,344,134,213,359,168,107,26,190,154,280,50,100,95,48,40,56,1348,3221,5407,357,1127,3636,4223,35,6217
G0100250,2008,ALABAMA,Clarke County,26255,1238.465,238,63,26192,9144,820,1661,4894,1769,9072,8161,911,0,11352,27439,17372,7570,14451,10990,108,483,0,30,193,237,174,170,257,74,171,44,172,301,641,492,511,224,290,128,178,225,531,146,184,188,167,94,78,2032,6344,9405,849,2210,5914,7466,55,12820
G0100270,2008,ALABAMA,Clay County,14040,603.961,360,286,13754,5851,475,996,3736,644,6461,5744,701,16,4766,35595,18332,2465,11562,2160,0,59,0,65,194,145,139,154,220,61,81,2,18,304,374,313,333,135,111,35,77,278,312,110,98,82,32,28,24,1012,2014,6915,280,1170,1760,4984,75,7221
G0100290,2008,ALABAMA,Cleburne County,14823,560.1,214,176,14647,5397,504,740,3566,587,6547,5681,844,22,5157,36077,17490,2480,13983,606,2,32,0,23,177,184,104,138,287,67,85,11,22,385,278,327,281,106,105,48,119,240,335,167,153,41,25,30,25,1862,2808,6066,240,975,1168,5216,108,8331
G0100310,2008,ALABAMA,Coffee County,48349,678.972,2712,2214,46135,18928,1555,2230,13286,1857,22496,19338,1561,1597,15464,42253,22797,8170,37460,8377,536,417,44,314,1201,375,308,1020,587,673,610,87,249,596,630,1183,1366,814,774,659,624,278,690,530,666,348,273,329,162,5074,9054,20976,909,2684,5079,14919,130,28221
G0100330,2008,ALABAMA,Colbert County,54446,592.619,1081,875,53571,22165,1949,3050,14973,2193,24814,22858,1832,124,18962,39610,21079,8369,44325,8745,262,337,0,153,624,452,292,739,716,335,421,101,170,732,919,1727,1956,632,684,483,430,595,1131,575,890,439,303,274,286,5298,9664,25223,897,3465,9703,14739,401,29603
G0100350,2008,ALABAMA,Conecuh County,13382,850.156,42,6,13376,4861,541,920,2621,779,5091,4449,642,0,5215,26944,15755,4071,6972,6189,0,122,0,0,99,52,245,50,57,18,37,22,24,409,281,294,340,94,139,75,104,204,332,132,194,65,60,16,8,1236,3317,5078,235,972,3429,3470,44,6439
G0100370,2008,ALABAMA,Coosa County,11470,650.926,14,67,11403,4561,339,727,2981,514,4864,4327,537,0,4457,35560,19209,1769,7517,3874,0,0,0,14,65,150,78,108,204,36,37,4,0,284,279,301,295,48,111,109,86,203,243,110,103,76,62,56,92,1315,2234,4943,280,760,2273,3248,42,5907
G0100390,2008,ALABAMA,Covington County,37608,1030.456,501,553,37055,14663,1532,2343,8999,1789,17305,15718,1541,46,12860,33852,19822,7061,31901,4837,188,81,51,307,243,287,147,430,401,142,231,20,109,666,693,1068,1138,489,507,248,289,423,803,447,475,256,92,116,158,3907,7600,15197,805,3116,3240,12444,103,21821
G0100410,2008,ALABAMA,Crenshaw County,13928,608.84,179,577,13351,5641,457,904,3569,711,6436,5867,553,16,4467,35140,19793,2450,10196,2901,531,116,0,0,184,119,85,181,102,49,120,0,65,337,245,549,417,102,133,92,103,145,245,123,171,34,27,48,27,1455,2592,5769,241,1183,1938,4319,34,7637
G0100430,2008,ALABAMA,Cullman County,79941,734.841,3170,2093,77848,31263,2342,4725,21067,3129,37156,34224,2884,48,26024,38567,20284,13167,76819,729,355,544,20,465,1009,837,687,1303,958,447,570,76,189,1321,1381,2197,2316,1060,865,711,895,1010,1507,618,1107,368,288,306,275,7862,13292,36460,1726,5100,5864,28896,545,44636
G0100450,2008,ALABAMA,Dale County,49730,561.15,2606,1768,47962,19545,1341,2484,13990,1730,24275,20097,1658,2520,14536,43353,21722,7173,37298,9888,623,121,56,387,1357,372,268,1258,985,519,539,135,242,476,780,1442,1732,962,487,475,412,422,811,561,637,240,227,160,119,5383,8849,21463,886,2803,5270,13886,164,30410
G0100470,2008,ALABAMA,Dallas County,44066,978.695,312,323,43743,16795,1726,2899,8614,3556,18168,15373,2765,30,15351,26029,16646,13881,13226,30322,167,37,0,181,133,455,518,650,664,172,238,28,152,775,943,925,1106,448,669,270,421,512,632,243,295,114,208,191,290,4169,12750,12887,1430,3113,13986,6798,68,23214
G0100490,2008,ALABAMA,DeKalb County,70038,777.093,8574,5073,64965,25937,2345,4407,16586,2599,31329,28636,2683,10,22639,35065,18152,13932,64779,1120,212,1089,7,1561,1270,1085,836,818,935,329,439,101,216,1174,1536,1590,1519,591,414,546,572,997,1286,572,567,244,173,181,193,6017,11232,32031,1351,4257,5658,17957,400,46023
G0100510,2008,ALABAMA,Elmore County,77650,618.485,1965,1680,75970,27762,1370,2902,21773,1717,36203,32740,2902,561,25016,53128,22640,8787,59044,15611,481,294,0,1249,971,806,467,1274,1613,624,983,132,259,1106,1032,1999,2419,1540,1228,818,910,506,909,670,819,465,398,411,287,7027,15414,34339,1631,4058,8301,25777,237,43335
G0100530,2008,ALABAMA,Escambia County,37996,945.08,722,428,37568,13804,1046,2331,8249,2178,14918,13243,1522,153,15282,31927,16259,8505,24065,11936,147,1384,14,106,344,1027,316,492,747,183,202,52,47,968,754,869,1020,432,431,204,385,348,511,272,524,84,188,101,52,3693,9078,14309,1008,2663,5188,9375,111,23322
G0100550,2008,ALABAMA,Etowah County,104066,534.991,3204,2362,101704,41584,3216,6467,27530,4371,46024,41331,4622,71,37016,36422,20439,17202,85437,15658,616,426,40,408,1481,669,490,1767,2062,830,957,219,362,1487,1393,3360,3697,1360,1275,892,1261,816,2104,1489,1465,529,457,377,253,10882,18514,45153,2093,7725,13497,30595,645,59329
G0100570,2008,ALABAMA,Fayette County,17472,627.66,184,92,17380,7164,831,980,4537,816,7285,6796,486,3,6732,34560,17711,3094,15128,1954,31,30,0,0,329,91,103,196,319,0,46,13,0,357,307,428,655,190,202,104,231,197,446,222,138,42,27,46,33,1547,2823,8230,264,1315,1994,5883,80,9515
G0100590,2008,ALABAMA,Franklin County,31383,633.821,4134,2477,28906,12367,1178,2055,7686,1448,14574,13397,1177,0,9824,33942,18094,6019,27392,1329,62,291,130,1842,337,509,352,586,331,51,185,33,54,625,568,715,610,315,381,188,276,458,752,289,402,169,52,114,50,2855,5155,14479,694,1757,3469,8048,176,19690
G0100610,2008,ALABAMA,Geneva County,26541,574.408,850,435,26106,10720,939,1795,6526,1460,12125,11185,925,15,9155,34140,18351,4237,23154,2711,31,50,0,141,454,216,161,410,363,43,118,65,9,597,628,645,776,179,254,68,20,247,806,290,261,51,85,26,91,3018,4513,11463,749,1875,2134,9417,106,14884
G0100630,2008,ALABAMA,Greene County,9255,647.11,97,83,9172,3522,340,792,1667,723,3692,2883,809,0,3575,22222,14738,2785,1663,7444,9,31,0,97,11,85,96,82,145,10,29,0,0,205,234,212,253,22,140,18,151,123,195,135,106,0,67,13,84,747,2766,2480,406,964,4408,876,21,3950
G0100650,2008,ALABAMA,Hale County,16168,643.943,57,147,16021,5843,729,934,3239,941,7007,6015,990,2,5443,29299,16523,3978,6457,9570,37,45,0,0,59,360,253,83,196,13,99,10,14,329,411,501,495,125,144,60,180,267,417,140,120,57,37,51,44,1550,4542,4855,534,1353,4982,3200,32,7954
G0100670,2008,ALABAMA,Henry County,17148,561.75,334,429,16719,6656,814,708,4382,752,8033,7134,861,38,5819,38379,19716,2562,11673,5021,320,0,0,114,20,243,73,98,139,47,83,31,161,427,407,289,583,303,279,78,162,164,361,269,150,90,52,32,93,1662,3352,7512,246,1261,3018,5585,45,8500
G0100690,2008,ALABAMA,Houston County,99029,579.824,2608,2167,96862,38035,2623,5580,26104,3728,47309,43872,3114,323,30071,41022,22725,16348,69839,25150,801,451,18,1285,1485,812,894,1387,1675,710,925,206,456,1424,1419,2609,3288,1749,1523,1177,1047,700,1509,1144,1307,560,423,423,319,10597,19916,40150,2183,5901,12225,29254,256,57294
G0100710,2008,ALABAMA,Jackson County,53386,1077.868,1212,788,52598,21173,1720,3371,13427,2655,24031,22247,1781,3,18781,36312,18905,9255,49167,1786,108,656,3,177,1489,449,411,641,984,309,324,85,187,1257,1133,1332,1534,548,493,432,473,570,1080,656,675,314,228,136,74,5311,8461,24923,1072,3581,6374,14083,417,32512
G0100730,2008,ALABAMA,Jefferson County,656912,1111.276,22577,26735,630177,260441,16726,32700,187350,23665,330602,301018,28832,752,189027,45244,26529,99549,358121,274357,8980,1147,214,8888,5205,4429,4096,9734,11995,9375,11980,4275,6184,7179,6076,18503,23859,14559,16005,9260,9844,4628,8829,6171,9006,4961,4222,3695,3181,65012,171674,238213,14475,39126,166121,149921,2482,338388
G0100750,2008,ALABAMA,Lamar County,14743,604.846,174,36,14707,5944,493,988,3611,852,6282,5669,613,0,5458,33887,19789,2689,12824,1804,0,36,0,10,69,187,68,128,239,35,106,18,66,291,248,397,424,94,159,57,76,286,329,127,230,22,58,57,43,1493,2134,6887,214,1215,1614,5419,42,7668
G0100770,2008,ALABAMA,Lauderdale County,91762,667.697,1872,1691,90071,37713,3500,5171,24878,4164,42674,38981,3670,23,31359,39345,22341,15891,80106,9395,612,401,0,395,853,480,501,1312,1773,740,1011,297,305,1264,1051,2009,2503,1808,1586,980,1364,787,1766,1135,1334,858,557,641,427,8545,18577,40570,1167,6600,13329,24068,707,53658
