name,description,unit,role
fips,Federal Information Processing Standards county code identifier,id,id
year,Election year,id,id
dem,Proportion of county population voting Democratic,persons,target
repub,Proportion of county population voting Republican,persons,target
other,Proportion of county population voting for other candidates,persons,target
nonvoter,Proportion of eligible voters who did not vote,persons,target
pop_male,Proportion of county population that is male,persons,feature
pop_female,Proportion of county population that is female,persons,feature
hispanic,Proportion of county population that is Hispanic,persons,feature
18plus,Proportion of county population aged 18 and over,persons,feature
underage,Proportion of county population under 18 years old,persons,feature
labor_total,Proportion of county population in the labor force,persons,feature
labor_armed,Proportion of labor force in armed forces,persons,feature
labor_employed,Proportion of county population that is employed,persons,feature
labor_unemployed,Proportion of county population that is unemployed,persons,feature
income_poverty,Proportion of county population below poverty line,persons,feature
income_percapita,Per capita income in dollars,dollars_per_person,feature
income_median,Median household income in dollars,dollars,feature
native_yes,Proportion of county population that is native-born,persons,feature
native_no,Proportion of county population that is foreign-born,persons,feature
income_10,"Proportion of households with income less than $10,000",households,feature
income_10-15,"Proportion of households with income $10,000-$14,999",households,feature
income_15-25,"Proportion of households with income $15,000-$24,999",households,feature
income_25,"Proportion of households with income $25,000 or more",households,feature
marital_single,Proportion of county population that is single,persons,feature
marital_married,Proportion of county population that is married,persons,feature
marital_sepdiv,Proportion of county population that is separated/divorced,persons,feature
marital_widow,Proportion of county population that is widowed,persons,feature
edu_low,Proportion of county population with less than high school education,persons,feature
edu_mid,Proportion of county population with high school or some college education,persons,feature
edu_high,Proportion of county population with bachelor's degree or higher,persons,feature
edu_low_age_18,Proportion of 18-44 year olds with less than high school education,persons,feature
edu_low_age_45,Proportion of 45-64 year olds with less than high school education,persons,feature
edu_low_age_65,Proportion of 65+ year olds with less than high school education,persons,feature
edu_mid_age_18,Proportion of 18-44 year olds with high school or some college education,persons,feature
edu_mid_age_45,Proportion of 45-64 year olds with high school or some college education,persons,feature
edu_mid_age_65,Proportion of 65+ year olds with high school or some college education,persons,feature
edu_high_age_18,Proportion of 18-44 year olds with bachelor's degree or higher,persons,feature
edu_high_age_45,Proportion of 45-64 year olds with bachelor's degree or higher,persons,feature
edu_high_age_65,Proportion of 65+ year olds with bachelor's degree or higher,persons,feature
race_wht_total,Proportion of county population that is white,persons,feature
race_wht_male,Proportion of county population that is white male,persons,feature
race_wht_female,Proportion of county population that is white female,persons,feature
race_blk_total,Proportion of county population that is black,persons,feature
race_blk_male,Proportion of county population that is black male,persons,feature
race_blk_female,Proportion of county population that is black female,persons,feature
race_other_total,Proportion of county population of other races,persons,feature
race_other_male,Proportion of county population that is male of other races,persons,feature
race_other_female,Proportion of county population that is female of other races,persons,feature
CENSUSAREA,Census area in square miles,area,feature
pop_density,Population density (persons per square mile),persons_per_area,feature
