gisjoin,year,state,county,population,area,hispanic,nativity_foreign_born,nativity_native,households,income_10k_to_15k,income_15k_to_25k,income_25k_plus,income_less_than_10k,labor_16_plus_in_force,labor_16_plus_employed,labor_16_plus_unemployed,labor_16_plus_armed_forces,labor_16_plus_not_in_force,median_household_income,per_capita_income,poverty,white_male,white_female,black_male,black_female,asian_male,asian_female,aian_male,aian_female,nhpi_male,nhpi_female,other_male,other_female,multi_male,multi_female,age_low_edu_low,age_low_edu_mid,age_low_edu_high,age_low_edu_very_high,age_mid_edu_low,age_mid_edu_mid,age_mid_edu_high,age_mid_edu_very_high,age_high_edu_low,age_high_edu_mid,age_high_edu_high,age_high_edu_very_high,marital_divorced,marital_single,marital_married,marital_separated,marital_widowed,democrat_voter,republican_voter,other_voter,non_voter
G0100010,2008,ALABAMA,Autauga County,53155,594.436,1233,1055,52100,19718,996,1724,15682,1316,26635,24341,1611,683,13695,53255,24568,5623,20585,21446,4520,4988,133,215,58,110,0,0,177,147,307,469,592,1446,1075,347,1272,2766,2128,1054,893,1102,382,405,4719,10588,22476,1045,2530,6093,17403,145,29514
G0100030,2008,ALABAMA,Baldwin County,175791,1589.784,6848,6415,169376,69476,3353,8252,53725,4146,84253,78520,5513,220,55524,50147,26469,21216,73489,77964,7997,8616,539,610,531,559,0,6,2036,1048,1310,1086,1815,4913,3916,1198,3959,11690,9180,4755,2972,6298,4127,2746,15819,29656,84456,2418,9554,19386,61271,756,94378
G0100050,2008,ALABAMA,Barbour County,27699,884.876,1273,778,26921,9795,964,1370,5766,1695,10966,9909,1051,6,11227,33219,15875,6203,7336,6423,6719,6192,14,32,61,26,0,3,272,254,250,117,826,667,199,136,1452,1159,640,484,619,532,284,264,3054,7085,9780,968,1711,5697,5866,67,16069
G0100070,2008,ALABAMA,Bibb County,22610,622.582,134,153,22457,7441,547,1127,5220,547,10806,9819,987,0,7157,41770,19918,2830,10269,8769,1806,1644,36,0,19,21,0,0,0,0,32,14,327,515,305,56,971,897,358,147,542,331,151,114,2516,4809,8945,799,1228,2299,6262,83,13966
G0100090,2008,ALABAMA,Blount County,56692,644.776,4246,2675,54017,20605,1240,2681,14942,1742,26744,24706,2011,27,17620,45549,21070,7510,26796,27142,342,374,71,175,119,136,9,0,414,509,329,276,1190,1584,627,192,2447,2998,1364,745,1493,1115,353,331,5458,8673,26399,1057,3487,3522,20389,356,32425
G0100110,2008,ALABAMA,Bullock County,10923,622.805,180,124,10799,3732,312,652,2162,606,4854,4310,544,0,3889,31602,20289,2694,1486,1103,4209,3901,29,18,0,24,47,17,0,0,77,12,295,178,205,23,450,699,289,134,204,188,76,48,986,3886,2832,376,862,4011,1391,13,5508
G0100130,2008,ALABAMA,Butler County,20895,776.829,58,224,20671,8019,781,1380,4619,1239,8994,8138,856,0,7359,30659,16916,5127,5508,5985,4027,4942,97,79,28,0,0,0,0,0,150,79,425,563,201,96,883,1033,444,144,699,347,248,34,2407,4948,6894,580,1901,4188,5485,36,11186
G0100150,2008,ALABAMA,Calhoun County,117149,605.868,3555,2968,114181,46421,3650,6323,30576,5872,54183,47720,6309,154,39243,38407,20574,22203,42992,45459,10943,12985,267,548,245,268,50,35,924,887,891,655,1907,3783,1903,669,4027,7085,2944,2223,3259,2376,1091,1059,12215,25085,46851,2739,7936,16334,32348,560,67907
G0100170,2008,ALABAMA,Chambers County,34579,596.531,524,301,34278,13681,1434,2243,8206,1798,15951,13679,2272,0,11571,31467,16626,6988,9887,10538,6208,7319,61,84,0,17,0,0,31,26,221,187,779,1009,395,96,1824,1888,623,418,1545,685,298,183,3205,7358,13585,1139,2662,6799,8067,90,19623
G0100190,2008,ALABAMA,Cherokee County,25700,553.7,321,127,25573,11352,1229,1709,7298,1116,12072,10548,1496,28,8802,40690,21322,4458,11828,12014,693,509,19,50,76,122,0,32,35,86,153,83,483,913,86,126,1129,1883,619,387,1026,545,249,169,2172,2941,14246,198,1724,2306,7298,141,15955
G0100210,2008,ALABAMA,Chilton County,43121,692.854,2806,1708,41413,16563,1290,2376,11202,1695,20222,18375,1840,7,13252,39486,20517,7887,18589,19147,1990,2062,33,52,151,91,0,0,221,193,314,278,987,1074,755,152,1500,2111,620,613,1236,725,176,243,3877,7438,19677,729,2415,3674,13960,151,25336
G0100230,2008,ALABAMA,Choctaw County,14111,913.5,52,47,14064,5296,682,872,3073,669,5156,4478,678,0,6105,31076,17214,2590,3839,3984,2958,3106,0,39,0,0,0,0,0,10,62,113,200,281,145,46,478,572,275,216,434,150,143,96,1348,3221,5407,357,1127,3636,4223,35,6217
G0100250,2008,ALABAMA,Clarke County,26255,1238.465,238,63,26192,9144,820,1661,4894,1769,9072,8161,911,0,11352,27439,17372,7570,6870,7581,5192,5798,49,59,115,368,0,0,24,6,125,68,411,427,245,216,942,1003,514,306,756,330,355,172,2032,6344,9405,849,2210,5914,7466,55,12820
G0100270,2008,ALABAMA,Clay County,14040,603.961,360,286,13754,5851,475,996,3736,644,6461,5744,701,16,4766,35595,18332,2465,5701,5861,985,1175,0,0,37,22,0,0,21,44,129,65,284,374,142,20,678,646,246,112,590,208,114,52,1012,2014,6915,280,1170,1760,4984,75,7221
G0100290,2008,ALABAMA,Cleburne County,14823,560.1,214,176,14647,5397,504,740,3566,587,6547,5681,844,22,5157,36077,17490,2480,6991,6992,265,341,0,2,32,0,0,0,11,12,98,79,288,425,152,33,663,608,211,167,575,320,66,55,1862,2808,6066,240,975,1168,5216,108,8331
G0100310,2008,ALABAMA,Coffee County,48349,678.972,2712,2214,46135,18928,1555,2230,13286,1857,22496,19338,1561,1597,15464,42253,22797,8170,18646,18814,3967,4410,142,394,227,190,24,20,210,104,524,677,683,1607,1283,336,1226,2549,1588,1283,968,1196,621,491,5074,9054,20976,909,2684,5079,14919,130,28221
G0100330,2008,ALABAMA,Colbert County,54446,592.619,1081,875,53571,22165,1949,3050,14973,2193,24814,22858,1832,124,18962,39610,21079,8369,21502,22823,4014,4731,148,114,109,228,0,0,92,61,307,317,744,1455,756,271,1651,3683,1316,913,1726,1465,742,560,5298,9664,25223,897,3465,9703,14739,401,29603
G0100350,2008,ALABAMA,Conecuh County,13382,850.156,42,6,13376,4861,541,920,2621,779,5091,4449,642,0,5215,26944,15755,4071,3537,3435,3211,2978,0,0,4,118,0,0,0,0,63,36,297,107,55,46,690,634,233,179,536,326,125,24,1236,3317,5078,235,972,3429,3470,44,6439
G0100370,2008,ALABAMA,Coosa County,11470,650.926,14,67,11403,4561,339,727,2981,514,4864,4327,537,0,4457,35560,19209,1769,3828,3689,1794,2080,0,0,0,0,0,0,11,3,33,32,228,312,73,4,563,596,159,195,446,213,138,148,1315,2234,4943,280,760,2273,3248,42,5907
G0100390,2008,ALABAMA,Covington County,37608,1030.456,501,553,37055,14663,1532,2343,8999,1789,17305,15718,1541,46,12860,33852,19822,7061,15466,16435,2212,2625,124,64,46,35,51,0,213,94,110,133,434,831,373,129,1359,2206,996,537,1226,922,348,274,3907,7600,15197,805,3116,3240,12444,103,21821
G0100410,2008,ALABAMA,Crenshaw County,13928,608.84,179,577,13351,5641,457,904,3569,711,6436,5867,553,16,4467,35140,19793,2450,5004,5192,1351,1550,237,294,67,49,0,0,0,0,78,106,204,283,169,65,582,966,235,195,390,294,61,75,1455,2592,5769,241,1183,1938,4319,34,7637
G0100430,2008,ALABAMA,Cullman County,79941,734.841,3170,2093,77848,31263,2342,4725,21067,3129,37156,34224,2884,48,26024,38567,20284,13167,38146,38673,436,293,141,214,285,259,20,0,214,251,477,532,1524,2261,1017,265,2702,4513,1925,1606,2517,1725,656,581,7862,13292,36460,1726,5100,5864,28896,545,44636
G0100450,2008,ALABAMA,Dale County,49730,561.15,2606,1768,47962,19545,1341,2484,13990,1730,24275,20097,1658,2520,14536,43353,21722,7173,18720,18578,4636,5252,210,413,41,80,41,15,200,187,688,669,640,2243,1058,377,1256,3174,1449,887,1233,1198,467,279,5383,8849,21463,886,2803,5270,13886,164,30410
G0100470,2008,ALABAMA,Dallas County,44066,978.695,312,323,43743,16795,1726,2899,8614,3556,18168,15373,2765,30,15351,26029,16646,13881,6280,6946,13741,16581,92,75,37,0,0,0,63,118,83,50,973,1314,410,180,1718,2031,1117,691,1144,538,322,481,4169,12750,12887,1430,3113,13986,6798,68,23214
G0100490,2008,ALABAMA,DeKalb County,70038,777.093,8574,5073,64965,25937,2345,4407,16586,2599,31329,28636,2683,10,22639,35065,18152,13932,31919,32860,509,611,140,72,507,582,0,7,849,712,660,610,1921,1753,768,317,2710,3109,1005,1118,2283,1139,417,374,6017,11232,32031,1351,4257,5658,17957,400,46023
G0100510,2008,ALABAMA,Elmore County,77650,618.485,1965,1680,75970,27762,1370,2902,21773,1717,36203,32740,2902,561,25016,53128,22640,8787,28727,30317,7875,7736,215,266,167,127,0,0,710,539,554,417,1273,2887,1607,391,2138,4418,2768,1728,1415,1489,863,698,7027,15414,34339,1631,4058,8301,25777,237,43335
G0100530,2008,ALABAMA,Escambia County,37996,945.08,722,428,37568,13804,1046,2331,8249,2178,14918,13243,1522,153,15282,31927,16259,8505,12079,11986,6360,5576,82,65,695,689,0,14,45,61,168,176,1343,1239,385,99,1722,1889,863,589,859,796,272,153,3693,9078,14309,1008,2663,5188,9375,111,23322
G0100550,2008,ALABAMA,Etowah County,104066,534.991,3204,2362,101704,41584,3216,6467,27530,4371,46024,41331,4622,71,37016,36422,20439,17202,41628,43809,7236,8422,225,391,232,194,13,27,266,142,613,868,1159,3829,1787,581,2880,7057,2635,2153,2920,2954,986,630,10882,18514,45153,2093,7725,13497,30595,645,59329
G0100570,2008,ALABAMA,Fayette County,17472,627.66,184,92,17380,7164,831,980,4537,816,7285,6796,486,3,6732,34560,17711,3094,7446,7682,919,1035,10,21,20,10,0,0,0,0,138,191,194,515,46,13,664,1083,392,335,643,360,69,79,1547,2823,8230,264,1315,1994,5883,80,9515
G0100590,2008,ALABAMA,Franklin County,31383,633.821,4134,2477,28906,12367,1178,2055,7686,1448,14574,13397,1177,0,9824,33942,18094,6019,13295,14097,671,658,28,34,181,110,75,55,1156,686,173,164,861,917,236,87,1193,1325,696,464,1210,691,221,164,2855,5155,14479,694,1757,3469,8048,176,19690
G0100610,2008,ALABAMA,Geneva County,26541,574.408,850,435,26106,10720,939,1795,6526,1460,12125,11185,925,15,9155,34140,18351,4237,11332,11822,1226,1485,19,12,32,18,0,0,82,59,202,252,377,773,161,74,1225,1421,433,88,1053,551,136,117,3018,4513,11463,749,1875,2134,9417,106,14884
G0100630,2008,ALABAMA,Greene County,9255,647.11,97,83,9172,3522,340,792,1667,723,3692,2883,809,0,3575,22222,14738,2785,856,807,3493,3951,0,9,31,0,0,0,55,42,0,11,181,227,39,0,439,465,162,169,318,241,67,97,747,2766,2480,406,964,4408,876,21,3950
G0100650,2008,ALABAMA,Hale County,16168,643.943,57,147,16021,5843,729,934,3239,941,7007,6015,990,2,5443,29299,16523,3978,3192,3265,4461,5109,16,21,24,21,0,0,0,0,39,20,613,279,112,24,740,996,269,240,684,260,94,95,1550,4542,4855,534,1353,4982,3200,32,7954
G0100670,2008,ALABAMA,Henry County,17148,561.75,334,429,16719,6656,814,708,4382,752,8033,7134,861,38,5819,38379,19716,2562,5664,6009,2302,2719,144,176,0,0,0,0,76,38,7,13,316,237,130,192,834,872,582,240,525,419,142,125,1662,3352,7512,246,1261,3018,5585,45,8500
G0100690,2008,ALABAMA,Houston County,99029,579.824,2608,2167,96862,38035,2623,5580,26104,3728,47309,43872,3114,323,30071,41022,22725,16348,33936,35903,11540,13610,390,411,237,214,18,0,640,645,751,734,1706,3062,1635,662,2843,5897,3272,2224,2209,2451,983,742,10597,19916,40150,2183,5901,12225,29254,256,57294
G0100710,2008,ALABAMA,Jackson County,53386,1077.868,1212,788,52598,21173,1720,3371,13427,2655,24031,22247,1781,3,18781,36312,18905,9255,24190,24977,950,836,59,49,265,391,3,0,79,98,678,811,860,1625,633,272,2390,2866,1041,905,1650,1331,542,210,5311,8461,24923,1072,3581,6374,14083,417,32512
G0100730,2008,ALABAMA,Jefferson County,656912,1111.276,22577,26735,630177,260441,16726,32700,187350,23665,330602,301018,28832,752,189027,45244,26529,99549,173117,185004,124655,149702,4524,4456,647,500,97,117,5345,3543,2507,2698,8525,21729,21355,10459,13255,42362,30564,19104,13457,15177,9183,6876,65012,171674,238213,14475,39126,166121,149921,2482,338388
G0100750,2008,ALABAMA,Lamar County,14743,604.846,174,36,14707,5944,493,988,3611,852,6282,5669,613,0,5458,33887,19789,2689,6244,6580,787,1017,0,0,0,36,0,0,4,6,48,21,255,367,141,84,539,821,253,133,615,357,80,100,1493,2134,6887,214,1215,1614,5419,42,7668
G0100770,2008,ALABAMA,Lauderdale County,91762,667.697,1872,1691,90071,37713,3500,5171,24878,4164,42674,38981,3670,23,31359,39345,22341,15891,38455,41651,4183,5212,266,346,201,200,0,0,314,81,422,431,981,3085,1751,602,2315,4512,3394,2344,2553,2469,1415,1068,8545,18577,40570,1167,6600,13329,24068,707,53658
G0100790,2008,ALABAMA,Lawrence County,34235,690.678,598,566,33669,13412,939,1977,9329,1167,15900,14473,1407,20,11178,40516,19370,4630,13130,13597,1877,1965,19,51,880,914,0,0,114,65,745,878,484,845,500,133,1834,1646,685,300,847,678,113,117,2647,5824,16711,571,1919,5164,9277,239,19555
G0100810,2008,ALABAMA,Lee County,135010,607.536,4062,6634,128376,54016,4181,7171,35969,6695,68545,61882,5665,998,39400,40894,22794,24966,49206,48988,14285,16490,1823,1594,299,203,75,81,254,240,806,666,1422,4391,4235,2100,2629,5292,4586,4293,2101,2071,1400,1370,10063,43097,49212,2522,4800,21498,32230,597,80685
G0100830,2008,ALABAMA,Limestone County,78614,559.936,3917,2776,75838,30028,1748,3773,22501,2006,37216,34257,2777,182,24544,46682,24007,10158,32716,32448,5303,4740,368,429,240,240,0,3,710,401,546,470,1359,2462,1962,330,2125,4118,2918,1519,1707,1610,807,677,7577,14210,36027,1534,3594,9536,23598,417,45063
G0100850,2008,ALABAMA,Lowndes County,11731,715.911,106,35,11696,4205,436,672,2339,758,4915,4202,710,3,4311,29714,16524,3163,1481,1539,3919,4647,0,3,14,17,0,0,22,21,28,40,272,189,94,29,474,676,272,113,363,139,110,116,1077,3670,3496,374,740,5449,1809,20,4453
G0100870,2008,ALABAMA,Macon County,21699,608.885,139,100,21599,7969,771,1431,4370,1397,9308,7986,1266,56,8321,27544,16380,5141,1641,1628,8109,9929,0,2,20,25,0,0,16,0,140,189,323,554,387,99,565,1143,483,714,630,398,261,464,1978,7949,5637,784,1567,9450,1396,31,10822
G0100890,2008,ALABAMA,Madison County,323080,801.593,13034,17792,305288,126564,5723,13158,98519,9164,171163,154996,13595,2572,83492,55851,29918,37679,112311,113549,35615,40442,3494,4373,963,931,204,116,1508,1302,4408,3864,3909,10373,10708,4210,5947,17529,21267,13550,4293,7731,6489,4689,30389,73453,134854,6009,14846,64117,86965,1817,170181
G0100910,2008,ALABAMA,Marengo County,21296,976.882,72,61,21235,8494,751,1412,4904,1427,8482,7524,929,29,8009,32940,18323,4714,4768,4994,5145,6164,0,0,19,13,0,0,34,0,98,61,279,304,385,111,693,1156,728,286,623,534,306,107,2139,5135,7506,590,1576,5926,5516,29,9825
G0100930,2008,ALABAMA,Marion County,30792,742.292,587,448,30344,12744,1092,2566,7695,1391,13682,12584,1084,14,11177,32769,19030,5345,14137,14707,547,345,113,145,24,34,0,0,165,152,246,177,673,774,231,119,1591,1618,389,317,1178,546,164,184,3212,4835,14577,503,2234,2600,9536,219,18437
G0100950,2008,ALABAMA,Marshall County,90867,565.842,9891,6768,84099,34433,3192,5131,22420,3690,41812,39115,2654,43,28579,37661,19875,17913,41912,43410,739,732,175,294,356,349,33,25,897,712,621,612,2195,2385,854,339,2576,5291,2249,1611,2539,1762,937,568,9140,15510,39898,1472,5810,7038,25727,401,57701
G0100970,2008,ALABAMA,Mobile County,408620,1229.435,8854,13024,395596,153302,11183,19245,104903,17971,193846,174321,18695,830,123317,40996,21548,76987,122619,127717,64602,76245,3942,3451,1519,1514,39,60,1217,854,2262,2579,6827,13457,8708,2481,11948,21691,13803,8288,9297,7928,4390,3226,40441,98124,151393,9920,23346,82181,98049,1194,227196
G0100990,2008,ALABAMA,Monroe County,23329,1025.675,248,307,23022,9191,932,1264,5396,1599,9731,8708,1017,6,8383,30235,17652,5863,6348,6633,4438,5036,36,65,138,155,0,0,112,4,190,174,273,517,44,82,1090,1106,659,205,854,419,217,52,2407,4760,8952,666,1659,5025,6175,52,12077
G0101010,2008,ALABAMA,Montgomery County,228018,784.247,7177,8995,219023,88772,6841,10576,63122,8233,112883,102224,8757,1902,64252,43725,24622,41324,46943,48790,56791,65968,2060,2261,449,318,30,48,1008,743,1251,1358,4131,7771,6475,2455,4932,11916,10580,8064,4111,4859,3165,3203,23438,63910,76296,5263,12085,62166,42031,546,123275
G0101030,2008,ALABAMA,Morgan County,117632,579.337,7987,5946,111686,46375,2646,6733,33218,3778,57598,52500,4899,199,34606,44349,23090,17351,47744,49391,6588,7305,294,468,605,472,9,45,1494,1294,867,1056,1967,3950,1964,767,3227,7376,4349,2360,2203,3278,1463,728,11454,21658,52881,1929,6308,13895,36014,633,67090
G0101050,2008,ALABAMA,Perry County,10684,719.664,124,12,10672,3828,391,742,1952,743,3957,3325,606,26,4400,25950,13433,2807,1456,1720,3436,3932,0,0,0,24,0,0,0,0,9,107,172,162,230,0,394,459,192,159,323,158,99,105,566,3536,3222,360,771,4457,1679,23,4525
