,P(C),P(house_in_C),P(area_in_C),median_household_income,per_capita_income,population_density,P(income_10k_to_15k|house_in_C),P(income_15k_to_25k|house_in_C),P(income_25k_plus|house_in_C),P(income_less_than_10k|house_in_C),P(poverty|C),P(hispanic|C),P(nativity_native|C),P(labor_16_plus_employed|C),P(labor_16_plus_unemployed|C),P(labor_16_plus_armed_forces|C),P(labor_16_plus_not_in_force|C),P(white_male|C),P(white_female|C),P(black_male|C),P(black_female|C),P(asian_male|C),P(asian_female|C),P(aian_male|C),P(aian_female|C),P(nhpi_male|C),P(nhpi_female|C),P(other_male|C),P(other_female|C),P(multi_male|C),P(multi_female|C),P(age_low_edu_low|C),P(age_low_edu_mid|C),P(age_low_edu_high|C),P(age_low_edu_very_high|C),P(age_mid_edu_low|C),P(age_mid_edu_mid|C),P(age_mid_edu_high|C),P(age_mid_edu_very_high|C),P(age_high_edu_low|C),P(age_high_edu_mid|C),P(age_high_edu_high|C),P(age_high_edu_very_high|C),P(marital_divorced|C),P(marital_single|C),P(marital_married|C),P(marital_separated|C),P(marital_widowed|C),race_sex_diversity,P(democrat_voter|C),P(republican_voter|C),P(other_voter|C),P(non_voter|C),log_odds_dem_rep
P(C),1.0,0.997,-0.016,0.363,0.309,0.881,-0.309,-0.326,0.294,-0.13,-0.075,0.269,-0.457,0.168,0.331,0.475,-0.266,-0.371,-0.226,0.395,0.439,0.659,0.641,0.035,0.063,0.438,0.457,0.327,0.349,0.312,0.344,0.071,0.278,0.436,0.543,-0.109,-0.195,0.255,0.484,-0.249,-0.338,0.017,0.286,-0.006,0.441,-0.324,0.147,-0.459,0.412,0.339,-0.445,-0.042,0.159,0.428
P(house_in_C),0.996,1.0,-0.015,0.367,0.335,0.879,-0.31,-0.326,0.298,-0.139,-0.086,0.248,-0.441,0.19,0.325,0.475,-0.268,-0.348,-0.195,0.373,0.423,0.655,0.641,0.032,0.065,0.435,0.456,0.307,0.333,0.303,0.341,0.043,0.266,0.444,0.548,-0.125,-0.173,0.278,0.5,-0.242,-0.309,0.044,0.308,0.007,0.414,-0.291,0.127,-0.437,0.386,0.356,-0.425,-0.017,0.123,0.433
P(area_in_C),0.123,0.112,1.0,0.048,0.076,-0.422,-0.026,-0.035,0.056,-0.066,-0.044,0.293,-0.196,0.038,-0.117,-0.008,-0.05,0.017,-0.112,-0.239,-0.262,0.033,0.039,0.416,0.412,0.154,0.154,0.178,0.199,0.22,0.205,-0.023,0.077,0.047,-0.07,-0.223,0.243,0.174,-0.015,-0.212,0.312,0.289,0.092,-0.053,-0.021,0.038,-0.134,-0.069,0.086,-0.057,0.01,0.2,-0.025,-0.037
median_household_income,0.269,0.274,0.016,1.0,0.855,0.322,-0.824,-0.857,0.945,-0.788,-0.812,0.25,-0.373,0.73,-0.261,0.265,-0.702,0.126,0.095,-0.135,-0.107,0.383,0.427,0.044,0.066,0.227,0.223,0.195,0.234,0.197,0.217,-0.392,0.038,0.606,0.436,-0.605,0.176,0.624,0.466,-0.6,0.005,0.315,0.271,-0.352,-0.039,0.328,-0.424,-0.563,-0.014,0.224,0.049,0.355,-0.304,0.142
per_capita_income,0.277,0.297,0.001,0.872,1.0,0.268,-0.698,-0.731,0.811,-0.694,-0.757,0.143,-0.302,0.778,-0.274,0.229,-0.602,0.165,0.179,-0.187,-0.13,0.354,0.416,0.013,0.057,0.18,0.196,0.081,0.137,0.137,0.18,-0.516,-0.052,0.625,0.457,-0.653,0.274,0.774,0.579,-0.516,0.187,0.528,0.441,-0.253,-0.107,0.411,-0.452,-0.346,-0.09,0.339,0.146,0.43,-0.51,0.186
population_density,0.357,0.386,-0.057,0.149,0.229,1.0,-0.284,-0.292,0.256,-0.103,-0.068,0.121,-0.334,0.154,0.325,0.421,-0.23,-0.335,-0.152,0.458,0.509,0.574,0.555,-0.166,-0.139,0.313,0.33,0.213,0.227,0.18,0.216,0.059,0.207,0.39,0.524,-0.013,-0.284,0.18,0.447,-0.139,-0.429,-0.091,0.221,0.001,0.393,-0.291,0.186,-0.376,0.33,0.312,-0.384,-0.137,0.144,0.381
P(income_10k_to_15k|house_in_C),-0.176,-0.182,-0.031,-0.758,-0.649,-0.067,1.0,0.679,-0.862,0.662,0.728,-0.232,0.328,-0.616,0.221,-0.23,0.618,-0.123,-0.093,0.134,0.103,-0.319,-0.368,-0.033,-0.051,-0.196,-0.192,-0.179,-0.209,-0.17,-0.185,0.342,-0.046,-0.514,-0.355,0.539,-0.158,-0.52,-0.395,0.536,-0.01,-0.264,-0.227,0.304,0.064,-0.308,0.386,0.52,0.024,-0.162,-0.06,-0.3,0.252,-0.094
P(income_15k_to_25k|house_in_C),-0.21,-0.217,-0.029,-0.821,-0.706,-0.108,0.643,1.0,-0.88,0.617,0.686,-0.233,0.345,-0.636,0.219,-0.245,0.638,-0.064,-0.027,0.094,0.066,-0.355,-0.393,-0.041,-0.059,-0.209,-0.206,-0.182,-0.221,-0.189,-0.204,0.328,-0.053,-0.559,-0.404,0.534,-0.117,-0.546,-0.425,0.565,0.047,-0.264,-0.233,0.346,-0.008,-0.248,0.36,0.552,-0.034,-0.215,-0.007,-0.29,0.253,-0.155
P(income_25k_plus|house_in_C),0.183,0.188,0.038,0.883,0.768,0.07,-0.853,-0.863,1.0,-0.863,-0.858,0.231,-0.333,0.729,-0.304,0.227,-0.705,0.197,0.155,-0.206,-0.179,0.32,0.371,0.045,0.064,0.2,0.192,0.169,0.207,0.175,0.192,-0.405,0.019,0.563,0.372,-0.614,0.213,0.593,0.412,-0.585,0.056,0.317,0.24,-0.338,-0.123,0.4,-0.461,-0.534,-0.086,0.171,0.111,0.372,-0.322,0.079
P(income_less_than_10k|house_in_C),-0.092,-0.094,-0.036,-0.699,-0.622,-0.008,0.625,0.558,-0.857,1.0,0.835,-0.155,0.218,-0.656,0.367,-0.124,0.594,-0.308,-0.265,0.3,0.288,-0.181,-0.229,-0.03,-0.04,-0.116,-0.105,-0.09,-0.122,-0.1,-0.11,0.406,0.054,-0.419,-0.236,0.555,-0.266,-0.504,-0.288,0.46,-0.162,-0.31,-0.18,0.264,0.249,-0.485,0.472,0.358,0.216,-0.078,-0.226,-0.375,0.347,0.037
