year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,23641,6093,145,17403,G0100010
2008,81413,19386,756,61271,G0100030
2008,11630,5697,67,5866,G0100050
2008,8644,2299,83,6262,G0100070
2008,24267,3522,356,20389,G0100090
2008,5415,4011,13,1391,G0100110
2008,9709,4188,36,5485,G0100130
2008,49242,16334,560,32348,G0100150
2008,14956,6799,90,8067,G0100170
2008,9745,2306,141,7298,G0100190
2008,17785,3674,151,13960,G0100210
2008,7894,3636,35,4223,G0100230
2008,13435,5914,55,7466,G0100250
2008,6819,1760,75,4984,G0100270
2008,6492,1168,108,5216,G0100290
2008,20128,5079,130,14919,G0100310
2008,24843,9703,401,14739,G0100330
2008,6943,3429,44,3470,G0100350
2008,5563,2273,42,3248,G0100370
2008,15787,3240,103,12444,G0100390
2008,6291,1938,34,4319,G0100410
2008,35305,5864,545,28896,G0100430
2008,19320,5270,164,13886,G0100450
2008,20852,13986,68,6798,G0100470
2008,24015,5658,400,17957,G0100490
2008,34315,8301,237,25777,G0100510
2008,14674,5188,111,9375,G0100530
2008,44737,13497,645,30595,G0100550
2008,7957,1994,80,5883,G0100570
2008,11693,3469,176,8048,G0100590
2008,11657,2134,106,9417,G0100610
2008,5305,4408,21,876,G0100630
2008,8214,4982,32,3200,G0100650
2008,8648,3018,45,5585,G0100670
2008,41735,12225,256,29254,G0100690
2008,20874,6374,417,14083,G0100710
2008,318524,166121,2482,149921,G0100730
2008,7075,1614,42,5419,G0100750
2008,38104,13329,707,24068,G0100770
2008,14680,5164,239,9277,G0100790
2008,54325,21498,597,32230,G0100810
2008,33551,9536,417,23598,G0100830
2008,7278,5449,20,1809,G0100850
2008,10877,9450,31,1396,G0100870
2008,152899,64117,1817,86965,G0100890
2008,11471,5926,29,5516,G0100910
2008,12355,2600,219,9536,G0100930
2008,33166,7038,401,25727,G0100950
2008,181424,82181,1194,98049,G0100970
2008,11252,5025,52,6175,G0100990
2008,104743,62166,546,42031,G0101010
2008,50542,13895,633,36014,G0101030
2008,6159,4457,23,1679,G0101050
2008,10067,4594,39,5434,G0101070
2008,13955,5879,72,8004,G0101090
2008,10384,3064,145,7175,G0101110
2008,18915,10085,125,8705,G0101130
2008,34088,6091,348,27649,G0101150
2008,90643,20625,958,69060,G0101170
2008,7020,5264,25,1731,G0101190
2008,34204,13779,313,20112,G0101210
2008,19311,6063,132,13116,G0101230
2008,78912,32796,711,45405,G0101250
2008,28652,7420,510,20722,G0101270
2008,8775,3067,54,5654,G0101290
2008,6494,4612,14,1868,G0101310
2008,10031,1757,171,8103,G0101330
2008,6970,2597,224,4149,G0200010
2008,7735,3468,238,4029,G0200020
2008,8767,5657,281,2829,G0200030
2008,8736,4161,273,4302,G0200040
2008,7123,3393,304,3426,G0200050
2008,6824,2351,239,4234,G0200060
2008,10894,4283,314,6297,G0200070
2008,10320,4995,342,4983,G0200080
2008,7143,2805,197,4141,G0200090
2008,5615,2074,149,3392,G0200100
2008,9866,1924,206,7736,G0200110
2008,7589,1914,208,5467,G0200120
2008,11526,2800,294,8432,G0200130
2008,10456,2132,216,8108,G0200140
2008,11086,2510,349,8227,G0200150
2008,10697,2636,287,7774,G0200160
2008,9448,2645,182,6621,G0200170
2008,6411,2046,113,4252,G0200180
2008,7372,3095,171,4106,G0200190
2008,5138,2474,128,2536,G0200200
2008,8675,3647,191,4837,G0200210
2008,6634,3337,188,3109,G0200220
2008,7082,4075,199,2808,G0200230
2008,7688,3380,181,4127,G0200240
2008,6443,3233,168,3042,G0200250
2008,8695,4472,186,4037,G0200260
2008,8498,3130,209,5159,G0200270
2008,9792,3642,197,5953,G0200280
2008,6962,2684,151,4127,G0200290
2008,9183,3486,197,5500,G0200300
2008,10220,3596,205,6419,G0200310
2008,12307,5176,264,6867,G0200320
2008,8909,2089,249,6571,G0200330
2008,9548,1920,270,7358,G0200340
2008,9503,4254,290,4959,G0200350
2008,6673,2264,208,4201,G0200360
2008,4665,1868,136,2661,G0200370
2008,4820,2549,215,2056,G0200380
2008,5184,2695,166,2323,G0200390
2008,5000,2137,177,2686,G0200400
2008,0,0,0,0,G0200990
2008,24262,15390,321,8551,G0400010
2008,48820,18943,851,29026,G0400030
2008,54344,31433,725,22186,G0400050
2008,22333,7884,354,14095,G0400070
2008,12007,3487,144,8376,G0400090
2008,2913,1165,36,1712,G0400110
2008,5552,1929,114,3509,G0400120
2008,1364962,602166,16348,746448,G0400130
2008,67605,22092,1180,44333,G0400150
2008,35800,15579,460,19761,G0400170
2008,393428,206254,4768,182406,G0400190
2008,104883,44254,1208,59421,G0400210
2008,13303,8683,102,4518,G0400230
2008,99648,36889,1567,61192,G0400250
2008,43615,18559,479,24577,G0400270
2008,6978,2619,174,4185,G0500010
2008,8642,2976,260,5406,G0500030
2008,19981,6539,590,12852,G0500050
2008,76073,23331,1618,51124,G0500070
2008,15474,4435,464,10575,G0500090
2008,4041,1680,99,2262,G0500110
2008,2217,691,64,1462,G0500130
2008,10579,4172,324,6083,G0500150
2008,5208,3043,46,2119,G0500170
2008,9094,4267,219,4608,G0500190
2008,5511,2244,235,3032,G0500210
2008,11338,2951,425,7962,G0500230
2008,3505,911,143,2451,G0500250
2008,9558,3554,143,5861,G0500270
2008,8138,3149,298,4691,G0500290
2008,30968,11294,793,18881,G0500310
2008,20532,5238,606,14688,G0500330
2008,18255,10330,275,7650,G0500350
2008,7130,2580,157,4393,G0500370
2008,3318,1471,90,1757,G0500390
2008,4678,2569,110,1999,G0500410
2008,6610,2598,152,3860,G0500430
2008,41179,14955,862,25362,G0500450
