table,description,code_2008,code_2012,code_2016,code_2020
White Alone,Total,JVOE001,ABK1E001,AJ6OE001,AQYHE001
White Alone,Male,JVOE002,ABK1E002,AJ6OE002,AQYHE002
White Alone,Male: Under 5 years,JVOE003,ABK1E003,AJ6OE003,AQYHE003
White Alone,Male: 5 to 9 years,JVOE004,ABK1E004,AJ6OE004,AQYHE004
White Alone,Male: 10 to 14 years,JVOE005,ABK1E005,AJ6OE005,AQYHE005
White Alone,Male: 15 to 17 years,JVOE006,ABK1E006,AJ6OE006,AQYHE006
White Alone,Male: 18 and 19 years,JVOE007,ABK1E007,AJ6OE007,AQYHE007
White Alone,Male: 20 to 24 years,JVOE008,ABK1E008,AJ6OE008,AQYHE008
White Alone,Male: 25 to 29 years,JVOE009,ABK1E009,AJ6OE009,AQYHE009
White Alone,Male: 30 to 34 years,JVOE010,ABK1E010,AJ6OE010,AQYHE010
White Alone,Male: 35 to 44 years,JVOE011,ABK1E011,AJ6OE011,AQYHE011
White Alone,Male: 45 to 54 years,JVOE012,ABK1E012,AJ6OE012,AQYHE012
White Alone,Male: 55 to 64 years,JVOE013,ABK1E013,AJ6OE013,AQYHE013
White Alone,Male: 65 to 74 years,JVOE014,ABK1E014,AJ6OE014,AQYHE014
White Alone,Male: 75 to 84 years,JVOE015,ABK1E015,AJ6OE015,AQYHE015
White Alone,Male: 85 years and over,JVOE016,ABK1E016,AJ6OE016,AQYHE016
White Alone,Female,JVOE017,ABK1E017,AJ6OE017,AQYHE017
White Alone,Female: Under 5 years,JVOE018,ABK1E018,AJ6OE018,AQYHE018
White Alone,Female: 5 to 9 years,JVOE019,ABK1E019,AJ6OE019,AQYHE019
White Alone,Female: 10 to 14 years,JVOE020,ABK1E020,AJ6OE020,AQYHE020
White Alone,Female: 15 to 17 years,JVOE021,ABK1E021,AJ6OE021,AQYHE021
White Alone,Female: 18 and 19 years,JVOE022,ABK1E022,AJ6OE022,AQYHE022
White Alone,Female: 20 to 24 years,JVOE023,ABK1E023,AJ6OE023,AQYHE023
White Alone,Female: 25 to 29 years,JVOE024,ABK1E024,AJ6OE024,AQYHE024
White Alone,Female: 30 to 34 years,JVOE025,ABK1E025,AJ6OE025,AQYHE025
White Alone,Female: 35 to 44 years,JVOE026,ABK1E026,AJ6OE026,AQYHE026
White Alone,Female: 45 to 54 years,JVOE027,ABK1E027,AJ6OE027,AQYHE027
White Alone,Female: 55 to 64 years,JVOE028,ABK1E028,AJ6OE028,AQYHE028
White Alone,Female: 65 to 74 years,JVOE029,ABK1E029,AJ6OE029,AQYHE029
White Alone,Female: 75 to 84 years,JVOE030,ABK1E030,AJ6OE030,AQYHE030
White Alone,Female: 85 years and over,JVOE031,ABK1E031,AJ6OE031,AQYHE031
Black or African American Alone,Total,JVPE001,ABK2E001,AJ6PE001,AQYIE001
Black or African American Alone,Male,JVPE002,ABK2E002,AJ6PE002,AQYIE002
